Wavelength[nm],f/6 + AOI 0 deg,
2321,7.39E-07,
2320,7.20E-07,
2319,7.04E-07,
2318,6.89E-07,
2317,6.77E-07,
2316,6.67E-07,
2315,6.59E-07,
2314,6.53E-07,
2313,6.49E-07,
2312,6.46E-07,
2311,6.46E-07,
2310,6.47E-07,
2309,6.50E-07,
2308,6.55E-07,
2307,6.62E-07,
2306,6.71E-07,
2305,6.82E-07,
2304,6.96E-07,
2303,7.13E-07,
2302,7.32E-07,
2301,7.55E-07,
2300,7.81E-07,
2299,8.11E-07,
2298,8.45E-07,
2297,8.85E-07,
2296,9.30E-07,
2295,9.82E-07,
2294,1.04E-06,
2293,1.11E-06,
2292,1.19E-06,
2291,1.28E-06,
2290,1.39E-06,
2289,1.52E-06,
2288,1.68E-06,
2287,1.86E-06,
2286,2.08E-06,
2285,2.35E-06,
2284,2.69E-06,
2283,3.11E-06,
2282,3.65E-06,
2281,4.36E-06,
2280,5.31E-06,
2279,6.64E-06,
2278,8.54E-06,
2277,1.14E-05,
2276,1.62E-05,
2275,2.47E-05,
2274,4.25E-05,
2273,9.14E-05,
2272,2.97E-04,
2271,6.31E-04,
2270,6.23E-04,
2269,3.30E-04,
2268,1.07E-04,
2267,4.82E-05,
2266,2.79E-05,
2265,1.84E-05,
2264,1.32E-05,
2263,1.00E-05,
2262,7.90E-06,
2261,6.43E-06,
2260,5.38E-06,
2259,4.58E-06,
2258,3.98E-06,
2257,3.50E-06,
2256,3.13E-06,
2255,2.82E-06,
2254,2.57E-06,
2253,2.37E-06,
2252,2.20E-06,
2251,2.05E-06,
2250,1.93E-06,
2249,1.83E-06,
2248,1.75E-06,
2247,1.67E-06,
2246,1.62E-06,
2245,1.57E-06,
2244,1.53E-06,
2243,1.49E-06,
2242,1.47E-06,
2241,1.45E-06,
2240,1.44E-06,
2239,1.43E-06,
2238,1.44E-06,
2237,1.44E-06,
2236,1.45E-06,
2235,1.47E-06,
2234,1.50E-06,
2233,1.53E-06,
2232,1.57E-06,
2231,1.61E-06,
2230,1.66E-06,
2229,1.73E-06,
2228,1.80E-06,
2227,1.88E-06,
2226,1.97E-06,
2225,2.07E-06,
2224,2.19E-06,
2223,2.33E-06,
2222,2.48E-06,
2221,2.66E-06,
2220,2.86E-06,
2219,3.10E-06,
2218,3.36E-06,
2217,3.67E-06,
2216,4.03E-06,
2215,4.44E-06,
2214,4.93E-06,
2213,5.49E-06,
2212,6.16E-06,
2211,6.96E-06,
2210,7.90E-06,
2209,9.03E-06,
2208,1.04E-05,
2207,1.21E-05,
2206,1.41E-05,
2205,1.66E-05,
2204,1.97E-05,
2203,2.36E-05,
2202,2.84E-05,
2201,3.45E-05,
2200,4.22E-05,
2199,5.20E-05,
2198,6.41E-05,
2197,7.89E-05,
2196,9.64E-05,
2195,1.16E-04,
2194,1.37E-04,
2193,1.57E-04,
2192,1.74E-04,
2191,1.86E-04,
2190,1.93E-04,
2189,1.95E-04,
2188,1.93E-04,
2187,1.90E-04,
2186,1.85E-04,
2185,1.82E-04,
2184,1.79E-04,
2183,1.79E-04,
2182,1.80E-04,
2181,1.84E-04,
2180,1.90E-04,
2179,1.99E-04,
2178,2.12E-04,
2177,2.29E-04,
2176,2.52E-04,
2175,2.81E-04,
2174,3.18E-04,
2173,3.67E-04,
2172,4.28E-04,
2171,5.03E-04,
2170,5.91E-04,
2169,6.84E-04,
2168,7.65E-04,
2167,8.11E-04,
2166,8.04E-04,
2165,7.45E-04,
2164,6.52E-04,
2163,5.49E-04,
2162,4.53E-04,
2161,3.72E-04,
2160,3.07E-04,
2159,2.56E-04,
2158,2.16E-04,
2157,1.85E-04,
2156,1.60E-04,
2155,1.40E-04,
2154,1.24E-04,
2153,1.12E-04,
2152,1.01E-04,
2151,9.22E-05,
2150,8.49E-05,
2149,7.87E-05,
2148,7.35E-05,
2147,6.90E-05,
2146,6.51E-05,
2145,6.17E-05,
2144,5.86E-05,
2143,5.59E-05,
2142,5.35E-05,
2141,5.13E-05,
2140,4.92E-05,
2139,4.72E-05,
2138,4.54E-05,
2137,4.36E-05,
2136,4.19E-05,
2135,4.02E-05,
2134,3.86E-05,
2133,3.70E-05,
2132,3.54E-05,
2131,3.39E-05,
2130,3.24E-05,
2129,3.10E-05,
2128,2.96E-05,
2127,2.83E-05,
2126,2.71E-05,
2125,2.59E-05,
2124,2.48E-05,
2123,2.38E-05,
2122,2.29E-05,
2121,2.20E-05,
2120,2.13E-05,
2119,2.05E-05,
2118,1.99E-05,
2117,1.94E-05,
2116,1.89E-05,
2115,1.86E-05,
2114,1.83E-05,
2113,1.80E-05,
2112,1.79E-05,
2111,1.78E-05,
2110,1.78E-05,
2109,1.79E-05,
2108,1.80E-05,
2107,1.82E-05,
2106,1.84E-05,
2105,1.88E-05,
2104,1.92E-05,
2103,1.97E-05,
2102,2.03E-05,
2101,2.11E-05,
2100,2.19E-05,
2099,2.29E-05,
2098,2.40E-05,
2097,2.52E-05,
2096,2.66E-05,
2095,2.82E-05,
2094,2.99E-05,
2093,3.18E-05,
2092,3.38E-05,
2091,3.59E-05,
2090,3.82E-05,
2089,4.04E-05,
2088,4.26E-05,
2087,4.46E-05,
2086,4.64E-05,
2085,4.79E-05,
2084,4.88E-05,
2083,4.93E-05,
2082,4.92E-05,
2081,4.86E-05,
2080,4.75E-05,
2079,4.60E-05,
2078,4.43E-05,
2077,4.24E-05,
2076,4.04E-05,
2075,3.84E-05,
2074,3.65E-05,
2073,3.47E-05,
2072,3.30E-05,
2071,3.15E-05,
2070,3.01E-05,
2069,2.88E-05,
2068,2.78E-05,
2067,2.69E-05,
2066,2.61E-05,
2065,2.54E-05,
2064,2.49E-05,
2063,2.46E-05,
2062,2.43E-05,
2061,2.42E-05,
2060,2.42E-05,
2059,2.43E-05,
2058,2.46E-05,
2057,2.50E-05,
2056,2.55E-05,
2055,2.62E-05,
2054,2.71E-05,
2053,2.82E-05,
2052,2.94E-05,
2051,3.10E-05,
2050,3.27E-05,
2049,3.49E-05,
2048,3.74E-05,
2047,4.03E-05,
2046,4.38E-05,
2045,4.79E-05,
2044,5.28E-05,
2043,5.86E-05,
2042,6.57E-05,
2041,7.43E-05,
2040,8.47E-05,
2039,9.76E-05,
2038,0.000113658,
2037,0.000133875,
2036,0.000159588,
2035,0.000192664,
2034,0.000235831,
2033,0.00029282,
2032,0.000368978,
2031,0.00047152,
2030,0.000610099,
2029,0.000795976,
2028,0.001038006,
2027,0.001334443,
2026,0.001658059,
2025,0.001951192,
2024,0.002144865,
2023,0.002199379,
2022,0.002131081,
2021,0.001989757,
2020,0.001827679,
2019,0.001677258,
2018,0.001553817,
2017,0.001460495,
2016,0.001397012,
2015,0.001360818,
2014,0.001349895,
2013,0.001363013,
2012,0.001398299,
2011,0.001455459,
2010,0.001532145,
2009,0.001625175,
2008,0.001725838,
2007,0.001821797,
2006,0.001893215,
2005,0.001918669,
2004,0.001880615,
2003,0.001775824,
2002,0.00161659,
2001,0.00142725,
2000,0.00123197,
1999,0.001049542,
1998,0.000889406,
1997,0.00075405,
1996,0.000642688,
1995,0.00055195,
1994,0.00047852,
1993,0.000418986,
1992,0.000370681,
1991,0.000331436,
1990,0.000299433,
1989,2.73E-04,
1988,2.52E-04,
1987,2.34E-04,
1986,2.20E-04,
1985,2.08E-04,
1984,1.99E-04,
1983,1.92E-04,
1982,1.86E-04,
1981,1.83E-04,
1980,1.81E-04,
1979,1.80E-04,
1978,1.81E-04,
1977,1.83E-04,
1976,1.86E-04,
1975,1.92E-04,
1974,1.99E-04,
1973,2.08E-04,
1972,2.19E-04,
1971,2.33E-04,
1970,2.50E-04,
1969,2.71E-04,
1968,2.97E-04,
1967,3.28E-04,
1966,3.66E-04,
1965,4.13E-04,
1964,4.71E-04,
1963,5.43E-04,
1962,6.33E-04,
1961,7.45E-04,
1960,8.84E-04,
1959,1.05E-03,
1958,1.26E-03,
1957,1.49E-03,
1956,1.73E-03,
1955,1.96E-03,
1954,2.12E-03,
1953,2.19E-03,
1952,2.16E-03,
1951,2.04E-03,
1950,1.87E-03,
1949,1.69E-03,
1948,1.52E-03,
1947,1.36E-03,
1946,1.23E-03,
1945,1.11E-03,
1944,1.02E-03,
1943,9.50E-04,
1942,8.91E-04,
1941,8.46E-04,
1940,8.11E-04,
1939,7.86E-04,
1938,7.70E-04,
1937,7.62E-04,
1936,7.61E-04,
1935,7.67E-04,
1934,7.81E-04,
1933,8.01E-04,
1932,8.30E-04,
1931,8.66E-04,
1930,9.11E-04,
1929,9.66E-04,
1928,1.03E-03,
1927,1.10E-03,
1926,1.19E-03,
1925,1.29E-03,
1924,1.39E-03,
1923,1.51E-03,
1922,1.62E-03,
1921,1.74E-03,
1920,1.84E-03,
1919,1.93E-03,
1918,1.99E-03,
1917,2.02E-03,
1916,2.02E-03,
1915,1.99E-03,
1914,1.93E-03,
1913,1.85E-03,
1912,1.76E-03,
1911,0.001663796,
1910,0.00156964,
1909,0.001480471,
1908,0.001397977,
1907,0.001324037,
1906,0.001258925,
1905,0.001202541,
1904,0.001155048,
1903,0.001115578,
1902,0.001083927,
1901,0.001059498,
1900,0.001041838,
1899,0.001030623,
1898,0.001025652,
1897,0.001026597,
1896,0.001033475,
