Wavelength[nm],r%,,,T% at AOI 45 deg
2047,1.35296,,,98.64704
2046,1.35754,,,98.64246
2045,1.34393,,,98.65607
2044,1.35524,,,98.64476
2043,1.3585,,,98.6415
2042,1.34562,,,98.65438
2041,1.35818,,,98.64182
2040,1.35982,,,98.64018
2039,1.34798,,,98.65202
2038,1.36171,,,98.63829
2037,1.36145,,,98.63855
2036,1.35101,,,98.64899
2035,1.36577,,,98.63423
2034,1.36337,,,98.63663
2033,1.35477,,,98.64523
2032,1.37023,,,98.62977
2031,1.36554,,,98.63446
2030,1.35925,,,98.64075
2029,1.37498,,,98.62502
2028,1.36789,,,98.63211
2027,1.36455,,,98.63545
2026,1.37981,,,98.62019
2025,1.37048,,,98.62952
2024,1.37055,,,98.62945
2023,1.38453,,,98.61547
2022,1.37341,,,98.62659
2021,1.37717,,,98.62283
2020,1.38893,,,98.61107
2019,1.37677,,,98.62323
2018,1.38416,,,98.61584
2017,1.39292,,,98.60708
2016,1.38064,,,98.61936
2015,1.39135,,,98.60865
2014,1.39635,,,98.60365
2013,1.38509,,,98.61491
2012,1.39848,,,98.60152
2011,1.39919,,,98.60081
2010,1.39017,,,98.60983
2009,1.40522,,,98.59478
2008,1.40142,,,98.59858
2007,1.39603,,,98.60397
2006,1.4112,,,98.5888
2005,1.40324,,,98.59676
2004,1.40249,,,98.59751
2003,1.41596,,,98.58404
2002,1.40495,,,98.59505
2001,1.40932,,,98.59068
2000,1.41922,,,98.58078
1999,1.40693,,,98.59307
1998,1.416,,,98.584
1997,1.4209,,,98.5791
1996,1.40945,,,98.59055
1995,1.422,,,98.578
1994,1.42111,,,98.57889
1993,1.4127,,,98.5873
1992,1.42675,,,98.57325
1991,1.4202,,,98.5798
1990,1.41669,,,98.58331
1989,1.42966,,,98.57034
1988,1.41871,,,98.58129
1987,1.42123,,,98.57877
1986,1.43025,,,98.56975
1985,1.41739,,,98.58261
1984,1.4256,,,98.5744
1983,1.42846,,,98.57154
1982,1.41693,,,98.58307
1981,1.42886,,,98.57114
1980,1.42469,,,98.57531
1979,1.41766,,,98.58234
1978,1.43003,,,98.56997
1977,1.41985,,,98.58015
1976,1.41938,,,98.58062
1975,1.4284,,,98.5716
1974,1.4151,,,98.5849
1973,1.42129,,,98.57871
1972,1.42381,,,98.57619
1971,1.41153,,,98.58847
1970,1.42213,,,98.57787
1969,1.41693,,,98.58307
1968,1.4097,,,98.5903
1967,1.4206,,,98.5794
1966,1.40911,,,98.59089
1965,1.40928,,,98.59072
1964,1.41584,,,98.58416
1963,1.40202,,,98.59798
1962,1.40907,,,98.59093
1961,1.408,,,98.592
1960,1.39701,,,98.60299
1959,1.40733,,,98.59267
1958,1.39837,,,98.60163
1957,1.3944,,,98.6056
1956,1.40258,,,98.59742
1955,1.38905,,,98.61095
1954,1.39314,,,98.60686
1953,1.39439,,,98.60561
1952,1.382,,,98.618
1951,1.3912,,,98.6088
1950,1.38393,,,98.61607
1949,1.37816,,,98.62184
1948,1.3866,,,98.6134
1947,1.37368,,,98.62632
1946,1.37669,,,98.62331
1945,1.37843,,,98.62157
1944,1.36621,,,98.63379
1943,1.37503,,,98.62497
1942,1.36789,,,98.63211
1941,1.36268,,,98.63732
1940,1.3706,,,98.6294
1939,1.35796,,,98.64204
1938,1.36181,,,98.63819
1937,1.36254,,,98.63746
1936,1.35156,,,98.64844
1935,1.36064,,,98.63936
1934,1.35262,,,98.64738
1933,1.34959,,,98.65041
1932,1.35647,,,98.64353
1931,1.34425,,,98.65575
1930,1.3502,,,98.6498
1929,1.34882,,,98.65118
1928,1.34047,,,98.65953
1927,1.34985,,,98.65015
1926,1.3403,,,98.6597
1925,1.34142,,,98.65858
1924,1.34577,,,98.65423
1923,1.33509,,,98.66491
1922,1.34383,,,98.65617
1921,1.33885,,,98.66115
1920,1.33546,,,98.66454
1919,1.34357,,,98.65643
1918,1.33322,,,98.66678
1917,1.33953,,,98.66047
1916,1.33937,,,98.66063
1915,1.33287,,,98.66713
1914,1.34267,,,98.65733
1913,1.3344,,,98.6656
1912,1.33778,,,98.66222
1911,1.34163,,,98.65837
1910,1.33362,,,98.66638
1909,1.34357,,,98.65643
1908,1.3381,,,98.6619
1907,1.33887,,,98.66113
1906,1.3456,,,98.6544
1905,1.33732,,,98.66268
1904,1.3466,,,98.6534
1903,1.34385,,,98.65615
1902,1.34273,,,98.65727
1901,1.35122,,,98.64878
1900,1.34343,,,98.65657
1899,1.35178,,,98.64822
1898,1.35123,,,98.64877
1897,1.34893,,,98.65107
1896,1.35837,,,98.64163
1895,1.35132,,,98.64868
1894,1.35882,,,98.64118
1893,1.35979,,,98.64021
1892,1.35692,,,98.64308
1891,1.3667,,,98.6333
1890,1.36033,,,98.63967
1889,1.36726,,,98.63274
1888,1.369,,,98.631
1887,1.36599,,,98.63401
1886,1.37572,,,98.62428
1885,1.36977,,,98.63023
1884,1.37643,,,98.62357
1883,1.37824,,,98.62176
1882,1.37543,,,98.62457
1881,1.38478,,,98.61522
1880,1.37896,,,98.62104
1879,1.38565,,,98.61435
1878,1.38685,,,98.61315
1877,1.38453,,,98.61547
1876,1.39317,,,98.60683
1875,1.38723,,,98.61277
1874,1.39415,,,98.60585
1873,1.39413,,,98.60587
1872,1.39262,,,98.60738
1871,1.40012,,,98.59988
1870,1.394,,,98.606
1869,1.40121,,,98.59879
1868,1.39946,,,98.60054
1867,1.39919,,,98.60081
1866,1.40491,,,98.59509
1865,1.39889,,,98.60111
1864,1.40619,,,98.59381
1863,1.40238,,,98.59762
1862,1.40372,,,98.59628
1861,1.40693,,,98.59307
1860,1.40158,,,98.59842
1859,1.40835,,,98.59165
1858,1.40269,,,98.59731
1857,1.40564,,,98.59436
1856,1.40584,,,98.59416
1855,1.40182,,,98.59818
1854,1.40719,,,98.59281
1853,1.40038,,,98.59962
1852,1.40461,,,98.59539
1851,1.40158,,,98.59842
1850,1.39968,,,98.60032
1849,1.40254,,,98.59746
1848,1.39579,,,98.60421
1847,1.40042,,,98.59958
1846,1.39453,,,98.60547
1845,1.39523,,,98.60477
1844,1.39449,,,98.60551
1843,1.38944,,,98.61056
1842,1.39288,,,98.60712
1841,1.38554,,,98.61446
1840,1.38826,,,98.61174
1839,1.38377,,,98.61623
1838,1.38172,,,98.61828
1837,1.38219,,,98.61781
1836,1.37569,,,98.62431
1835,1.37866,,,98.62134
1834,1.3717,,,98.6283
1833,1.37272,,,98.62728
1832,1.3693,,,98.6307
1831,1.36579,,,98.63421
1830,1.36666,,,98.63334
1829,1.35987,,,98.64013
1828,1.36226,,,98.63774
1827,1.35592,,,98.64408
1826,1.35609,,,98.64391
1825,1.35328,,,98.64672
1824,1.34952,,,98.65048
1823,1.35043,,,98.64957
1822,1.34413,,,98.65587
1821,1.34627,,,98.65373
1820,1.34061,,,98.65939
1819,1.34089,,,98.65911
1818,1.33838,,,98.66162
1817,1.33543,,,98.66457
1816,1.33625,,,98.66375
1815,1.3311,,,98.6689
1814,1.33336,,,98.66664
1813,1.32848,,,98.67152
1812,1.32968,,,98.67032
1811,1.32726,,,98.67274
1810,1.32597,,,98.67403
1809,1.32656,,,98.67344
1808,1.32314,,,98.67686
1807,1.32564,,,98.67436
1806,1.32185,,,98.67815
1805,1.32426,,,98.67574
1804,1.32205,,,98.67795
1803,1.32281,,,98.67719
1802,1.32318,,,98.67682
1801,1.32202,,,98.67798
1800,1.32458,,,98.67542
1799,1.32246,,,98.67754
1798,1.3259,,,98.6741
1797,1.32429,,,98.67571
1796,1.32716,,,98.67284
1795,1.32725,,,98.67275
1794,1.32874,,,98.67126
1793,1.33087,,,98.66913
1792,1.33107,,,98.66893
1791,1.33472,,,98.66528
1790,1.33443,,,98.66557
1789,1.33859,,,98.66141
1788,1.33884,,,98.66116
1787,1.34253,,,98.65747
1786,1.34403,,,98.65597
1785,1.34674,,,98.65326
1784,1.34967,,,98.65033
1783,1.35147,,,98.64853
1782,1.35545,,,98.64455
1781,1.35682,,,98.64318
1780,1.36121,,,98.63879
1779,1.36274,,,98.63726
1778,1.36691,,,98.63309
1777,1.36906,,,98.63094
1776,1.37262,,,98.62738
1775,1.37554,,,98.62446
1774,1.37844,,,98.62156
1773,1.38194,,,98.61806
1772,1.38438,,,98.61562
1771,1.38814,,,98.61186
1770,1.39039,,,98.60961
1769,1.39404,,,98.60596
1768,1.39633,,,98.60367
1767,1.39963,,,98.60037
1766,1.40205,,,98.59795
1765,1.40489,,,98.59511
1764,1.40739,,,98.59261
1763,1.40984,,,98.59016
1762,1.41222,,,98.58778
1761,1.41438,,,98.58562
1760,1.41649,,,98.58351
1759,1.41846,,,98.58154
1758,1.42012,,,98.57988
1757,1.42194,,,98.57806
1756,1.42314,,,98.57686
1755,1.42472,,,98.57528
1754,1.42552,,,98.57448
1753,1.42674,,,98.57326
1752,1.42725,,,98.57275
1751,1.42793,,,98.57207
1750,1.42831,,,98.57169
1749,1.42831,,,98.57169
1748,1.42866,,,98.57134
1747,1.4279,,,98.5721
1746,1.42823,,,98.57177
1745,1.4267,,,98.5733
1744,1.42698,,,98.57302
1743,1.42477,,,98.57523
1742,1.42488,,,98.57512
1741,1.42215,,,98.57785
1740,1.42194,,,98.57806
1739,1.41889,,,98.58111
1738,1.41817,,,98.58183
1737,1.41503,,,98.58497
1736,1.41366,,,98.58634
1735,1.41064,,,98.58936
1734,1.40846,,,98.59154
1733,1.40573,,,98.59427
1732,1.4027,,,98.5973
1731,1.40038,,,98.59962
1730,1.39648,,,98.60352
1729,1.39464,,,98.60536
1728,1.38995,,,98.61005
1727,1.38858,,,98.61142
1726,1.38319,,,98.61681
1725,1.38227,,,98.61773
1724,1.37636,,,98.62364
1723,1.37579,,,98.62421
1722,1.36956,,,98.63044
1721,1.36927,,,98.63073
1720,1.36291,,,98.63709
1719,1.36278,,,98.63722
1718,1.35649,,,98.64351
1717,1.35645,,,98.64355
1716,1.35043,,,98.64957
1715,1.35042,,,98.64958
1714,1.34483,,,98.65517
1713,1.3448,,,98.6552
1712,1.33978,,,98.66022
1711,1.3397,,,98.6603
1710,1.33535,,,98.66465
1709,1.33524,,,98.66476
1708,1.33165,,,98.66835
1707,1.33154,,,98.66846
1706,1.32871,,,98.67129
1705,1.32864,,,98.67136
1704,1.3266,,,98.6734
1703,1.3266,,,98.6734
1702,1.32534,,,98.67466
1701,1.32547,,,98.67453
1700,1.32497,,,98.67503
1699,1.32529,,,98.67471
1698,1.32552,,,98.67448
1697,1.32606,,,98.67394
1696,1.32693,,,98.67307
1695,1.32777,,,98.67223
1694,1.32923,,,98.67077
1693,1.3304,,,98.6696
1692,1.33235,,,98.66765
1691,1.33391,,,98.66609
1690,1.33624,,,98.66376
1689,1.33822,,,98.66178
1688,1.34081,,,98.65919
1687,1.34327,,,98.65673
1686,1.34597,,,98.65403
1685,1.34897,,,98.65103
1684,1.35162,,,98.64838
1683,1.3552,,,98.6448
1682,1.35765,,,98.64235
1681,1.36186,,,98.63814
1680,1.36391,,,98.63609
1679,1.3688,,,98.6312
1678,1.37028,,,98.62972
1677,1.37587,,,98.62413
1676,1.3766,,,98.6234
1675,1.38293,,,98.61707
1674,1.38274,,,98.61726
