Wavelength[nm],Transmission,,R% at AOI 45 deg
1798,99.34383,,0.65617
1797,99.34353,,0.65647
1796,99.34323,,0.65677
1795,99.34293,,0.65707
1794,99.34262,,0.65738
1793,99.34232,,0.65768
1792,99.342,,0.658
1791,99.34169,,0.65831
1790,99.34138,,0.65862
1789,99.34106,,0.65894
1788,99.34074,,0.65926
1787,99.34042,,0.65958
1786,99.3401,,0.6599
1785,99.33978,,0.66022
1784,99.33946,,0.66054
1783,99.33914,,0.66086
1782,99.33882,,0.66118
1781,99.33851,,0.66149
1780,99.3382,,0.6618
1779,99.33789,,0.66211
1778,99.33758,,0.66242
1777,99.33728,,0.66272
1776,99.33698,,0.66302
1775,99.33668,,0.66332
1774,99.33639,,0.66361
1773,99.3361,,0.6639
1772,99.33582,,0.66418
1771,99.33554,,0.66446
1770,99.33527,,0.66473
1769,99.335,,0.665
1768,99.33474,,0.66526
1767,99.33448,,0.66552
1766,99.33422,,0.66578
1765,99.33398,,0.66602
1764,99.33373,,0.66627
1763,99.3335,,0.6665
1762,99.33327,,0.66673
1761,99.33304,,0.66696
1760,99.33283,,0.66717
1759,99.33262,,0.66738
1758,99.33242,,0.66758
1757,99.33222,,0.66778
1756,99.33203,,0.66797
1755,99.33185,,0.66815
1754,99.33167,,0.66833
1753,99.3315,,0.6685
1752,99.33134,,0.66866
1751,99.33118,,0.66882
1750,99.33103,,0.66897
1749,99.33088,,0.66912
1748,99.33073,,0.66927
1747,99.33059,,0.66941
1746,99.33045,,0.66955
1745,99.33032,,0.66968
1744,99.3302,,0.6698
1743,99.33008,,0.66992
1742,99.32997,,0.67003
1741,99.32986,,0.67014
1740,99.32976,,0.67024
1739,99.32967,,0.67033
1738,99.32959,,0.67041
1737,99.32952,,0.67048
1736,99.32944,,0.67056
1735,99.32938,,0.67062
1734,99.32932,,0.67068
1733,99.32926,,0.67074
1732,99.32921,,0.67079
1731,99.32916,,0.67084
1730,99.32912,,0.67088
1729,99.32908,,0.67092
1728,99.32904,,0.67096
1727,99.32901,,0.67099
1726,99.32898,,0.67102
1725,99.32896,,0.67104
1724,99.32894,,0.67106
1723,99.32892,,0.67108
1722,99.32891,,0.67109
1721,99.32891,,0.67109
1720,99.3289,,0.6711
1719,99.32891,,0.67109
1718,99.32893,,0.67107
1717,99.32894,,0.67106
1716,99.32897,,0.67103
1715,99.32899,,0.67101
1714,99.32903,,0.67097
1713,99.32906,,0.67094
1712,99.3291,,0.6709
1711,99.32915,,0.67085
1710,99.3292,,0.6708
1709,99.32925,,0.67075
1708,99.3293,,0.6707
1707,99.32936,,0.67064
1706,99.32942,,0.67058
1705,99.32949,,0.67051
1704,99.32957,,0.67043
1703,99.32965,,0.67035
1702,99.32974,,0.67026
1701,99.32984,,0.67016
1700,99.32995,,0.67005
1699,99.33006,,0.66994
1698,99.33018,,0.66982
1697,99.33031,,0.66969
1696,99.33044,,0.66956
1695,99.33059,,0.66941
1694,99.33074,,0.66926
1693,99.3309,,0.6691
1692,99.33108,,0.66892
1691,99.33126,,0.66874
1690,99.33145,,0.66855
1689,99.33166,,0.66834
1688,99.33189,,0.66811
1687,99.33212,,0.66788
1686,99.33237,,0.66763
1685,99.33262,,0.66738
1684,99.33289,,0.66711
1683,99.33318,,0.66682
1682,99.33347,,0.66653
1681,99.33378,,0.66622
1680,99.3341,,0.6659
1679,99.33444,,0.66556
1678,99.33478,,0.66522
1677,99.33514,,0.66486
1676,99.33551,,0.66449
1675,99.3359,,0.6641
1674,99.3363,,0.6637
1673,99.33671,,0.66329
1672,99.33714,,0.66286
1671,99.33758,,0.66242
1670,99.33804,,0.66196
1669,99.33851,,0.66149
1668,99.339,,0.661
1667,99.3395,,0.6605
1666,99.34001,,0.65999
1665,99.34053,,0.65947
1664,99.34107,,0.65893
1663,99.34162,,0.65838
1662,99.34218,,0.65782
1661,99.34275,,0.65725
1660,99.34333,,0.65667
1659,99.34391,,0.65609
1658,99.34451,,0.65549
1657,99.34511,,0.65489
1656,99.34572,,0.65428
1655,99.34634,,0.65366
1654,99.34697,,0.65303
1653,99.3476,,0.6524
1652,99.34823,,0.65177
1651,99.34887,,0.65113
1650,99.34951,,0.65049
1649,99.35014,,0.64986
1648,99.35078,,0.64922
1647,99.35142,,0.64858
1646,99.35206,,0.64794
1645,99.35269,,0.64731
1644,99.35332,,0.64668
1643,99.35394,,0.64606
1642,99.35456,,0.64544
1641,99.35517,,0.64483
1640,99.35577,,0.64423
