Wavelength[nm],T% at AOI 45 deg,r%
2012,98.60152,1.39848
2011,98.60081,1.39919
2010,98.60983,1.39017
2009,98.59478,1.40522
2008,98.59858,1.40142
2007,98.60397,1.39603
2006,98.5888,1.4112
2005,98.59676,1.40324
2004,98.59751,1.40249
2003,98.58404,1.41596
2002,98.59505,1.40495
2001,98.59068,1.40932
2000,98.58078,1.41922
1999,98.59307,1.40693
1998,98.584,1.416
1997,98.5791,1.4209
1996,98.59055,1.40945
1995,98.578,1.422
1994,98.57889,1.42111
1993,98.5873,1.4127
1992,98.57325,1.42675
1991,98.5798,1.4202
1990,98.58331,1.41669
1989,98.57034,1.42966
1988,98.58129,1.41871
1987,98.57877,1.42123
1986,98.56975,1.43025
1985,98.58261,1.41739
1984,98.5744,1.4256
1983,98.57154,1.42846
1982,98.58307,1.41693
1981,98.57114,1.42886
1980,98.57531,1.42469
1979,98.58234,1.41766
1978,98.56997,1.43003
1977,98.58015,1.41985
1976,98.58062,1.41938
1975,98.5716,1.4284
1974,98.5849,1.4151
1973,98.57871,1.42129
1972,98.57619,1.42381
1971,98.58847,1.41153
1970,98.57787,1.42213
1969,98.58307,1.41693
1968,98.5903,1.4097
1967,98.5794,1.4206
1966,98.59089,1.40911
1965,98.59072,1.40928
1964,98.58416,1.41584
1963,98.59798,1.40202
1962,98.59093,1.40907
1961,98.592,1.408
1960,98.60299,1.39701
1959,98.59267,1.40733
1958,98.60163,1.39837
1957,98.6056,1.3944
1956,98.59742,1.40258
1955,98.61095,1.38905
1954,98.60686,1.39314
1953,98.60561,1.39439
1952,98.618,1.382
1951,98.6088,1.3912
1950,98.61607,1.38393
1949,98.62184,1.37816
1948,98.6134,1.3866
1947,98.62632,1.37368
1946,98.62331,1.37669
1945,98.62157,1.37843
1944,98.63379,1.36621
1943,98.62497,1.37503
1942,98.63211,1.36789
1941,98.63732,1.36268
1940,98.6294,1.3706
1939,98.64204,1.35796
1938,98.63819,1.36181
1937,98.63746,1.36254
1936,98.64844,1.35156
1935,98.63936,1.36064
1934,98.64738,1.35262
1933,98.65041,1.34959
1932,98.64353,1.35647
1931,98.65575,1.34425
1930,98.6498,1.3502
1929,98.65118,1.34882
1928,98.65953,1.34047
1927,98.65015,1.34985
1926,98.6597,1.3403
1925,98.65858,1.34142
1924,98.65423,1.34577
1923,98.66491,1.33509
1922,98.65617,1.34383
1921,98.66115,1.33885
1920,98.66454,1.33546
1919,98.65643,1.34357
1918,98.66678,1.33322
1917,98.66047,1.33953
1916,98.66063,1.33937
1915,98.66713,1.33287
1914,98.65733,1.34267
1913,98.6656,1.3344
1912,98.66222,1.33778
1911,98.65837,1.34163
1910,98.66638,1.33362
1909,98.65643,1.34357
1908,98.6619,1.3381
1907,98.66113,1.33887
1906,98.6544,1.3456
1905,98.66268,1.33732
1904,98.6534,1.3466
1903,98.65615,1.34385
1902,98.65727,1.34273
1901,98.64878,1.35122
1900,98.65657,1.34343
1899,98.64822,1.35178
1898,98.64877,1.35123
1897,98.65107,1.34893
1896,98.64163,1.35837
1895,98.64868,1.35132
1894,98.64118,1.35882
1893,98.64021,1.35979
1892,98.64308,1.35692
1891,98.6333,1.3667
1890,98.63967,1.36033
1889,98.63274,1.36726
1888,98.631,1.369
1887,98.63401,1.36599
1886,98.62428,1.37572
1885,98.63023,1.36977
1884,98.62357,1.37643
1883,98.62176,1.37824
1882,98.62457,1.37543
1881,98.61522,1.38478
1880,98.62104,1.37896
1879,98.61435,1.38565
1878,98.61315,1.38685
1877,98.61547,1.38453
1876,98.60683,1.39317
1875,98.61277,1.38723
1874,98.60585,1.39415
1873,98.60587,1.39413
1872,98.60738,1.39262
1871,98.59988,1.40012
1870,98.606,1.394
1869,98.59879,1.40121
1868,98.60054,1.39946
1867,98.60081,1.39919
1866,98.59509,1.40491
1865,98.60111,1.39889
1864,98.59381,1.40619
1863,98.59762,1.40238
1862,98.59628,1.40372
1861,98.59307,1.40693
1860,98.59842,1.40158
1859,98.59165,1.40835
1858,98.59731,1.40269
1857,98.59436,1.40564
1856,98.59416,1.40584
1855,98.59818,1.40182
1854,98.59281,1.40719
1853,98.59962,1.40038
1852,98.59539,1.40461
1851,98.59842,1.40158
1850,98.60032,1.39968
1849,98.59746,1.40254
1848,98.60421,1.39579
1847,98.59958,1.40042
1846,98.60547,1.39453
1845,98.60477,1.39523
1844,98.60551,1.39449
1843,98.61056,1.38944
1842,98.60712,1.39288
1841,98.61446,1.38554
1840,98.61174,1.38826
1839,98.61623,1.38377
1838,98.61828,1.38172
1837,98.61781,1.38219
1836,98.62431,1.37569
1835,98.62134,1.37866
1834,98.6283,1.3717
1833,98.62728,1.37272
1832,98.6307,1.3693
1831,98.63421,1.36579
1830,98.63334,1.36666
1829,98.64013,1.35987
1828,98.63774,1.36226
1827,98.64408,1.35592
1826,98.64391,1.35609
1825,98.64672,1.35328
1824,98.65048,1.34952
1823,98.64957,1.35043
1822,98.65587,1.34413
1821,98.65373,1.34627
1820,98.65939,1.34061
1819,98.65911,1.34089
1818,98.66162,1.33838
1817,98.66457,1.33543
1816,98.66375,1.33625
1815,98.6689,1.3311
1814,98.66664,1.33336
1813,98.67152,1.32848
1812,98.67032,1.32968
1811,98.67274,1.32726
1810,98.67403,1.32597
1809,98.67344,1.32656
1808,98.67686,1.32314
1807,98.67436,1.32564
1806,98.67815,1.32185
1805,98.67574,1.32426
1804,98.67795,1.32205
1803,98.67719,1.32281
1802,98.67682,1.32318
1801,98.67798,1.32202
1800,98.67542,1.32458
1799,98.67754,1.32246
1798,98.6741,1.3259
1797,98.67571,1.32429
1796,98.67284,1.32716
1795,98.67275,1.32725
1794,98.67126,1.32874
1793,98.66913,1.33087
1792,98.66893,1.33107
1791,98.66528,1.33472
1790,98.66557,1.33443
1789,98.66141,1.33859
1788,98.66116,1.33884
1787,98.65747,1.34253
1786,98.65597,1.34403
1785,98.65326,1.34674
1784,98.65033,1.34967
1783,98.64853,1.35147
1782,98.64455,1.35545
1781,98.64318,1.35682
1780,98.63879,1.36121
1779,98.63726,1.36274
1778,98.63309,1.36691
1777,98.63094,1.36906
1776,98.62738,1.37262
1775,98.62446,1.37554
1774,98.62156,1.37844
1773,98.61806,1.38194
1772,98.61562,1.38438
1771,98.61186,1.38814
1770,98.60961,1.39039
1769,98.60596,1.39404
1768,98.60367,1.39633
1767,98.60037,1.39963
1766,98.59795,1.40205
1765,98.59511,1.40489
1764,98.59261,1.40739
1763,98.59016,1.40984
1762,98.58778,1.41222
1761,98.58562,1.41438
1760,98.58351,1.41649
1759,98.58154,1.41846
1758,98.57988,1.42012
1757,98.57806,1.42194
1756,98.57686,1.42314
1755,98.57528,1.42472
1754,98.57448,1.42552
1753,98.57326,1.42674
1752,98.57275,1.42725
1751,98.57207,1.42793
1750,98.57169,1.42831
1749,98.57169,1.42831
1748,98.57134,1.42866
1747,98.5721,1.4279
1746,98.57177,1.42823
1745,98.5733,1.4267
1744,98.57302,1.42698
1743,98.57523,1.42477
1742,98.57512,1.42488
1741,98.57785,1.42215
1740,98.57806,1.42194
1739,98.58111,1.41889
1738,98.58183,1.41817
1737,98.58497,1.41503
1736,98.58634,1.41366
1735,98.58936,1.41064
1734,98.59154,1.40846
1733,98.59427,1.40573
1732,98.5973,1.4027
1731,98.59962,1.40038
1730,98.60352,1.39648
1729,98.60536,1.39464
1728,98.61005,1.38995
1727,98.61142,1.38858
1726,98.61681,1.38319
1725,98.61773,1.38227
1724,98.62364,1.37636
1723,98.62421,1.37579
1722,98.63044,1.36956
1721,98.63073,1.36927
1720,98.63709,1.36291
1719,98.63722,1.36278
1718,98.64351,1.35649
1717,98.64355,1.35645
1716,98.64957,1.35043
1715,98.64958,1.35042
1714,98.65517,1.34483
1713,98.6552,1.3448
1712,98.66022,1.33978
1711,98.6603,1.3397
1710,98.66465,1.33535
1709,98.66476,1.33524
1708,98.66835,1.33165
1707,98.66846,1.33154
1706,98.67129,1.32871
1705,98.67136,1.32864
1704,98.6734,1.3266
1703,98.6734,1.3266
1702,98.67466,1.32534
1701,98.67453,1.32547
1700,98.67503,1.32497
1699,98.67471,1.32529
1698,98.67448,1.32552
1697,98.67394,1.32606
1696,98.67307,1.32693
1695,98.67223,1.32777
1694,98.67077,1.32923
1693,98.6696,1.3304
1692,98.66765,1.33235
1691,98.66609,1.33391
1690,98.66376,1.33624
1689,98.66178,1.33822
1688,98.65919,1.34081
1687,98.65673,1.34327
1686,98.65403,1.34597
1685,98.65103,1.34897
1684,98.64838,1.35162
1683,98.6448,1.3552
1682,98.64235,1.35765
1681,98.63814,1.36186
1680,98.63609,1.36391
1679,98.6312,1.3688
1678,98.62972,1.37028
1677,98.62413,1.37587
1676,98.6234,1.3766
1675,98.61707,1.38293
1674,98.61726,1.38274
1673,98.61018,1.38982
1672,98.61143,1.38857
1671,98.60365,1.39635
1670,98.60606,1.39394
1669,98.59762,1.40238
1668,98.60124,1.39876
1667,98.59229,1.40771
1666,98.59708,1.40292
1665,98.58781,1.41219
1664,98.59363,1.40637
1663,98.58438,1.41562
1662,98.59096,1.40904
1661,98.58213,1.41787
1660,98.58911,1.41089
1659,98.58119,1.41881
1658,98.58806,1.41194
1657,98.58168,1.41832
1656,98.58784,1.41216
1655,98.58367,1.41633
1654,98.58852,1.41148
1653,98.58713,1.41287
1652,98.59012,1.40988
1651,98.59198,1.40802
1650,98.59272,1.40728
1649,98.59806,1.40194
1648,98.59643,1.40357
1647,98.60513,1.39487
1646,98.60137,1.39863
1645,98.61285,1.38715
1644,98.60767,1.39233
1643,98.62091,1.37909
1642,98.61542,1.38458
1641,98.62898,1.37102
1640,98.62461,1.37539
1639,98.63683,1.36317
1638,98.63512,1.36488
1637,98.64435,1.35565
1636,98.64659,1.35341
1635,98.65161,1.34839
1634,98.65847,1.34153
1633,98.65883,1.34117
1632,98.67007,1.32993
1631,98.66635,1.33365
1630,98.68065,1.31935
1629,98.67447,1.32553
1628,98.68948,1.31052
1627,98.6834,1.3166
1626,98.69612,1.30388
1625,98.69299,1.30701
1624,98.7006,1.2994
1623,98.70264,1.29736
1622,98.70344,1.29656
1621,98.71131,1.28869
1620,98.70552,1.29448
1619,98.71777,1.28223
1618,98.7078,1.2922
1617,98.72098,1.27902
1616,98.71088,1.28912
1615,98.72053,1.27947
1614,98.71461,1.28539
1613,98.71691,1.28309
1612,98.71799,1.28201
1611,98.71153,1.28847
1610,98.71937,1.28063
1609,98.70619,1.29381
1608,98.71713,1.28287
1607,98.70232,1.29768
1606,98.7105,1.2895
1605,98.70021,1.29979
1604,98.70021,1.29979
1603,98.69862,1.30138
1602,98.68849,1.31151
1601,98.69525,1.30475
1600,98.67813,1.32187
1599,98.68792,1.31208
1598,98.67109,1.32891
1597,98.67608,1.32392
1596,98.66721,1.33279
1595,98.66161,1.33839
1594,98.66401,1.33599
1593,98.64818,1.35182
1592,98.65813,1.34187
1591,98.63924,1.36076
1590,98.64763,1.35237
1589,98.63577,1.36423
1588,98.63374,1.36626
1587,98.63514,1.36486
1586,98.62099,1.37901
1585,98.63265,1.36735
1584,98.61423,1.38577
1583,98.62511,1.37489
1582,98.61482,1.38518
1581,98.61404,1.38596
1580,98.61906,1.38094
1579,98.60517,1.39483
1578,98.62065,1.37935
1577,98.60421,1.39579
1576,98.61612,1.38388
1575,98.6115,1.3885
1574,98.60857,1.39143
1573,98.62086,1.37914
1572,98.60569,1.39431
1571,98.6246,1.3754
1570,98.61272,1.38728
1569,98.62104,1.37896
1568,98.62643,1.37357
1567,98.61709,1.38291
1566,98.6371,1.3629
1565,98.62179,1.37821
1564,98.63806,1.36194
1563,98.63624,1.36376
1562,98.63345,1.36655
1561,98.65084,1.34916
1560,98.6346,1.3654
1559,98.65482,1.34518
1558,98.64708,1.35292
1557,98.64878,1.35122
1556,98.66246,1.33754
1555,98.64559,1.35441
1554,98.66668,1.33332
1553,98.65462,1.34538
1552,98.65776,1.34224
1551,98.66833,1.33167
1550,98.64986,1.35014
1549,98.67023,1.32977
1548,98.65519,1.34481
1547,98.65695,1.34305
1546,98.66608,1.33392
1545,98.64479,1.35521
1544,98.66376,1.33624
1543,98.64769,1.35231
1542,98.64559,1.35441
1541,98.65579,1.34421
1540,98.63128,1.36872
1539,98.64834,1.35166
1538,98.63464,1.36536
1537,98.62632,1.37368
1536,98.64065,1.35935
1535,98.61435,1.38565
1534,98.62796,1.37204
1533,98.62193,1.37807
1532,98.60609,1.39391
1531,98.62607,1.37393
