#Wavelength (nm),"M1, M2, or M3
#2 years"
1887,0.946472925
1886,0.947433484
1885,0.947341607
1884,0.947003778
1883,0.947016029
1882,0.947416954
1881,0.947257779
1880,0.946394094
1879,0.947034359
1878,0.946994267
1877,0.946743736
1876,0.947591591
1875,0.947058201
1874,0.946713734
1873,0.947223409
1872,0.947028319
1871,0.947144883
1870,0.947375768
1869,0.947824955
1868,0.947024053
1867,0.947207858
1866,0.947302087
1865,0.9469977
1864,0.946732375
1863,0.947334334
1862,0.947134883
1861,0.947248573
1860,0.946906668
1859,0.946704171
1858,0.947000548
1857,0.946744143
1856,0.9464446
1855,0.946490072
1854,0.946612542
1853,0.946993446
1852,0.947154675
1851,0.946730518
1850,0.946855869
1849,0.946643778
1848,0.946275679
1847,0.94651619
1846,0.947009048
1845,0.946671937
1844,0.946422583
1843,0.946332556
1842,0.946248035
1841,0.946651929
1840,0.946851273
1839,0.94674516
1838,0.946653722
1837,0.946354338
1836,0.946310514
1835,0.946842759
1834,0.946123104
1833,0.946343587
1832,0.946050987
1831,0.946169434
1830,0.94658226
1829,0.946125952
1828,0.945730165
1827,0.945911547
1826,0.946487834
1825,0.946232236
1824,0.945807743
1823,0.946019351
1822,0.946014957
1821,0.946363532
1820,0.945734069
1819,0.945704466
1818,0.946382802
1817,0.94609038
1816,0.946161919
1815,0.945983512
1814,0.946176637
1813,0.946010799
1812,0.945697053
1811,0.946272271
1810,0.945591761
1809,0.94553374
1808,0.945673555
1807,0.945915152
1806,0.945730731
1805,0.94551597
1804,0.945630226
1803,0.945656134
1802,0.945664075
1801,0.945325457
1800,0.945928567
1799,0.945803579
1798,0.945250231
1797,0.945439561
1796,0.945201931
1795,0.94487395
1794,0.945532322
1793,0.94499356
1792,0.9454599
1791,0.945204557
1790,0.945584927
1789,0.945465965
1788,0.945535704
1787,0.945386569
1786,0.945119603
1785,0.945598749
1784,0.94553477
1783,0.945863317
1782,0.944801776
1781,0.94483813
1780,0.945294228
1779,0.945516669
1778,0.945197481
1777,0.944766916
1776,0.945575485
1775,0.945155551
1774,0.945090415
1773,0.945622756
1772,0.945692991
1771,0.945096499
1770,0.945243944
1769,0.945505575
1768,0.945360006
1767,0.945076586
1766,0.945250727
1765,0.945399361
1764,0.945850576
1763,0.945605933
1762,0.945239404
1761,0.945209306
1760,0.945680332
1759,0.945304152
1758,0.944875514
1757,0.945248801
1756,0.945488078
1755,0.945125777
1754,0.945213203
1753,0.945567697
1752,0.945297286
1751,0.945508957
1750,0.945204042
1749,0.945034472
1748,0.945208867
1747,0.945262318
1746,0.945491327
1745,0.945274086
1744,0.945448488
1743,0.945333742
1742,0.94526741
1741,0.945570234
1740,0.945271912
1739,0.945723362
1738,0.945137971
1737,0.945514202
1736,0.945656471
1735,0.945389748
1734,0.945451603
1733,0.945793095
1732,0.945365047
1731,0.945772502
1730,0.946027953
1729,0.945563151
1728,0.945299524
1727,0.946199862
1726,0.945773169
1725,0.945435607
1724,0.945770111
1723,0.945586535
1722,0.946176936
1721,0.945614363
1720,0.945765311
1719,0.945702521
1718,0.945686766
1717,0.946070576
1716,0.945457268
1715,0.945532589
1714,0.945502809
1713,0.94603192
1712,0.945667604
1711,0.945639858
1710,0.945483812
1709,0.94563914
1708,0.946134834
1707,0.946479867
1706,0.945591908
1705,0.945886237
1704,0.946042926
1703,0.945559489
1702,0.946051108
1701,0.946034508
1700,0.945638504
1699,0.946014226
1698,0.945687288
1697,0.945359802
1696,0.946153558
1695,0.946163222
1694,0.945851885
1693,0.945438658
1692,0.94590704
1691,0.945777251
1690,0.945720024
1689,0.945549558
1688,0.945353165
1687,0.945707951
1686,0.945593141
1685,0.945725702
1684,0.946034857
1683,0.945991936
1682,0.945839475
1681,0.945122604
1680,0.945564499
1679,0.945379518
1678,0.945576172
1677,0.945961431
1676,0.945657075
1675,0.945908305
1674,0.946297181
1673,0.945812664
1672,0.945884043
1671,0.946339556
1670,0.945456537
1669,0.945712655
1668,0.945509262
1667,0.945669244
1666,0.945444132
1665,0.945481307
1664,0.946119906
1663,0.9455211
1662,0.945820891
1661,0.945799452
1660,0.945847588
1659,0.946060054
1658,0.945463587
1657,0.945678921
1656,0.945223649
1655,0.945791709
1654,0.945695705
1653,0.945829862
1652,0.945480735
1651,0.946063786
1650,0.945683645
1649,0.946078917
1648,0.945852623
1647,0.945734094
1646,0.945496928
1645,0.945651245
1644,0.94550148
1643,0.94557181
1642,0.945462163
1641,0.94539458
1640,0.945252393
1639,0.945058174
1638,0.945458228
1637,0.945310771
1636,0.944876588
1635,0.945526244
1634,0.945606117
1633,0.945341835
1632,0.94516798
1631,0.945327511
1630,0.945281188
1629,0.945818723
1628,0.945200583
1627,0.945111154
1626,0.945757192
1625,0.945421149
1624,0.945073547
1623,0.944989942
1622,0.945799338
1621,0.945474529
1620,0.945142994
1619,0.945036252
1618,0.945754064
1617,0.945406259
1616,0.944967359
1615,0.945320721
1614,0.945222823
1613,0.944894149
1612,0.944801153
1611,0.94531229
1610,0.945234076
1609,0.944853388
1608,0.945051034
1607,0.94473189
1606,0.945073407
1605,0.945321477
1604,0.945064831
1603,0.945255152
1602,0.944917526
1601,0.944965159
1600,0.945074081
1599,0.944606228
1598,0.944801413
1597,0.944614156
1596,0.945004228
1595,0.945091451
1594,0.944574973
1593,0.94470164
1592,0.944889336
1591,0.944447734
1590,0.944890232
1589,0.94460453
1588,0.944762224
1587,0.945040366
1586,0.944600824
1585,0.944579468
1584,0.944523067
1583,0.944247913
1582,0.945137831
1581,0.944729792
1580,0.944655609
1579,0.944389153
1578,0.944342492
1577,0.944271393
1576,0.944557985
1575,0.94471955
1574,0.944166953
1573,0.944697736
1572,0.944548804
1571,0.944547335
1570,0.944230385
1569,0.944371058
1568,0.944087868
1567,0.944271609
1566,0.944637915
1565,0.944872252
1564,0.944170596
1563,0.944499982
1562,0.944071
1561,0.944140587
1560,0.944019712
1559,0.944940325
1558,0.944007187
1557,0.944987348
1556,0.944360065
1555,0.944544239
1554,0.944076977
1553,0.944240551
1552,0.944510473
1551,0.944138762
1550,0.944669978
1549,0.944114418
1548,0.94412199
1547,0.944374116
1546,0.944502023
1545,0.944136988
1544,0.94400603
1543,0.944047483
1542,0.944181175
1541,0.944289188
1540,0.944576302
1539,0.94384826
1538,0.944076684
1537,0.944032466
1536,0.944286874
1535,0.94436175
1534,0.944290187
1533,0.94431345
1532,0.944236743
1531,0.944003843
1530,0.944518344
1529,0.943792102
1528,0.94419672
1527,0.943769817
1526,0.944256064
1525,0.944280949
1524,0.94405606
1523,0.944377975
1522,0.943905748
1521,0.944155312
1520,0.943831158
1519,0.944232655
1518,0.944145832
1517,0.944263376
1516,0.943883661
1515,0.943932234
1514,0.944051437
1513,0.943762067
1512,0.94443023
1511,0.944459337
1510,0.944214611
1509,0.94387818
1508,0.943919417
1507,0.944131667
1506,0.943785013
1505,0.943893471
1504,0.944536622
1503,0.943945287
1502,0.943814837
1501,0.943388933
1500,0.943566074
1499,0.944652208
1498,0.943732141
1497,0.944326045
1496,0.944176381
