# wavelength(nm), strehl
9.268000000000060936e+02,5.487684024384233972e-01
9.269000000000061164e+02,5.488266544434851069e-01
9.270000000000061391e+02,5.488848953068702352e-01
9.271000000000061618e+02,5.489431250308648425e-01
9.272000000000061846e+02,5.490013436177553219e-01
9.273000000000062073e+02,5.490595510698275117e-01
9.274000000000062300e+02,5.491177473893675831e-01
9.275000000000062528e+02,5.491759325786610413e-01
9.276000000000062755e+02,5.492341066399936134e-01
9.277000000000062983e+02,5.492922695756502494e-01
9.278000000000063210e+02,5.493504213879163434e-01
9.279000000000063437e+02,5.494085620790769564e-01
9.280000000000063665e+02,5.494666916514169275e-01
9.281000000000063892e+02,5.495248101072207625e-01
9.282000000000064119e+02,5.495829174487727453e-01
9.283000000000064347e+02,5.496410136783572709e-01
9.284000000000064574e+02,5.496990987982586230e-01
9.285000000000064801e+02,5.497571728107605304e-01
9.286000000000065029e+02,5.498152357181468330e-01
9.287000000000065256e+02,5.498732875227010375e-01
9.288000000000065484e+02,5.499313282267064285e-01
9.289000000000065711e+02,5.499893578324459575e-01
9.290000000000065938e+02,5.500473763422031315e-01
9.291000000000066166e+02,5.501053837582604578e-01
9.292000000000066393e+02,5.501633800829006660e-01
9.293000000000066620e+02,5.502213653184062636e-01
9.294000000000066848e+02,5.502793394670593141e-01
9.295000000000067075e+02,5.503373025311419919e-01
9.296000000000067303e+02,5.503952545129362495e-01
9.297000000000067530e+02,5.504531954147238171e-01
9.298000000000067757e+02,5.505111252387860921e-01
9.299000000000067985e+02,5.505690439874045827e-01
9.300000000000068212e+02,5.506269516628602423e-01
9.301000000000068439e+02,5.506848482674341350e-01
9.302000000000068667e+02,5.507427338034072140e-01
9.303000000000068894e+02,5.508006082730597663e-01
9.304000000000069122e+02,5.508584716786723012e-01
9.305000000000069349e+02,5.509163240225252167e-01
9.306000000000069576e+02,5.509741653068984668e-01
9.307000000000069804e+02,5.510319955340716724e-01
9.308000000000070031e+02,5.510898147063246766e-01
9.309000000000070258e+02,5.511476228259369892e-01
9.310000000000070486e+02,5.512054198951877870e-01
9.311000000000070713e+02,5.512632059163560250e-01
9.312000000000070941e+02,5.513209808917208798e-01
9.313000000000071168e+02,5.513787448235608624e-01
9.314000000000071395e+02,5.514364977141544832e-01
9.315000000000071623e+02,5.514942395657802532e-01
9.316000000000071850e+02,5.515519703807159058e-01
9.317000000000072077e+02,5.516096901612399517e-01
9.318000000000072305e+02,5.516673989096294584e-01
9.319000000000072532e+02,5.517250966281624924e-01
9.320000000000072760e+02,5.517827833191161213e-01
9.321000000000072987e+02,5.518404589847677455e-01
9.322000000000073214e+02,5.518981236273942104e-01
9.323000000000073442e+02,5.519557772492721393e-01
9.324000000000073669e+02,5.520134198526782665e-01
9.325000000000073896e+02,5.520710514398888824e-01
9.326000000000074124e+02,5.521286720131802772e-01
9.327000000000074351e+02,5.521862815748285191e-01
9.328000000000074579e+02,5.522438801271091213e-01
9.329000000000074806e+02,5.523014676722978189e-01
9.330000000000075033e+02,5.523590442126701250e-01
9.331000000000075261e+02,5.524166097505011086e-01
9.332000000000075488e+02,5.524741642880658388e-01
9.333000000000075715e+02,5.525317078276389404e-01
9.334000000000075943e+02,5.525892403714953716e-01
9.335000000000076170e+02,5.526467619219090910e-01
9.336000000000076398e+02,5.527042724811547236e-01
9.337000000000076625e+02,5.527617720515058952e-01
9.338000000000076852e+02,5.528192606352368976e-01
9.339000000000077080e+02,5.528767382346209125e-01
9.340000000000077307e+02,5.529342048519315655e-01
9.341000000000077534e+02,5.529916604894419274e-01
9.342000000000077762e+02,5.530491051494249577e-01
9.343000000000077989e+02,5.531065388341536160e-01
9.344000000000078217e+02,5.531639615459005288e-01
9.345000000000078444e+02,5.532213732869379896e-01
9.346000000000078671e+02,5.532787740595382919e-01
9.347000000000078899e+02,5.533361638659732851e-01
9.348000000000079126e+02,5.533935427085148184e-01
9.349000000000079353e+02,5.534509105894345193e-01
9.350000000000079581e+02,5.535082675110035710e-01
9.351000000000079808e+02,5.535656134754934898e-01
9.352000000000080036e+02,5.536229484851751259e-01
9.353000000000080263e+02,5.536802725423192184e-01
9.354000000000080490e+02,5.537375856491961734e-01
9.355000000000080718e+02,5.537948878080763970e-01
9.356000000000080945e+02,5.538521790212302953e-01
9.357000000000081172e+02,5.539094592909274972e-01
9.358000000000081400e+02,5.539667286194380758e-01
9.359000000000081627e+02,5.540239870090311047e-01
9.360000000000081855e+02,5.540812344619762131e-01
9.361000000000082082e+02,5.541384709805425857e-01
9.362000000000082309e+02,5.541956965669988522e-01
9.363000000000082537e+02,5.542529112236139754e-01
9.364000000000082764e+02,5.543101149526560301e-01
9.365000000000082991e+02,5.543673077563938678e-01
9.366000000000083219e+02,5.544244896370951192e-01
9.367000000000083446e+02,5.544816605970278589e-01
9.368000000000083674e+02,5.545388206384596064e-01
9.369000000000083901e+02,5.545959697636579921e-01
9.370000000000084128e+02,5.546531079748898696e-01
9.371000000000084356e+02,5.547102352744226472e-01
9.372000000000084583e+02,5.547673516645227343e-01
9.373000000000084810e+02,5.548244571474572062e-01
9.374000000000085038e+02,5.548815517254919172e-01
9.375000000000085265e+02,5.549386354008933875e-01
9.376000000000085493e+02,5.549957081759276933e-01
9.377000000000085720e+02,5.550527700528600228e-01
9.378000000000085947e+02,5.551098210339564520e-01
