Preliminary design data,,
1551,,
Wavelength (nm),%R,%T
1450,0.2559161,0.7439942
1451,0.2230756,0.7768316
1452,0.1903392,0.8095654
1453,0.1589177,0.8409849
1454,0.1300394,0.8698621
1455,0.1047742,0.8951272
1456,8.39E-02,0.9160247
1457,6.77E-02,0.9322041
1458,5.62E-02,0.9437218
1459,4.89E-02,0.9509708
1460,0.0453449,0.9545662
1461,4.47E-02,0.9552255
1462,4.63E-02,0.9536656
1463,4.94E-02,0.9505537
1464,5.35E-02,0.9464601
1465,5.81E-02,0.9418483
1466,6.28E-02,0.9370781
1467,6.75E-02,0.9324188
1468,7.19E-02,0.9280631
1469,7.58E-02,0.9241433
1470,7.92E-02,0.9207438
1471,8.20E-02,0.9179132
1472,8.43E-02,0.9156708
1473,8.59E-02,0.9140154
1474,8.70E-02,0.9129303
1475,8.76E-02,0.9123864
1476,8.76E-02,0.9123461
1477,0.0871733,0.9127646
1478,8.63E-02,0.9135928
1479,8.52E-02,0.9147776
1480,0.0836745,0.9162642
1481,8.19E-02,0.9179956
1482,8.00E-02,0.9199157
1483,7.80E-02,0.92197
1484,7.58E-02,0.9241059
1485,7.37E-02,0.9262737
1486,7.15E-02,0.9284279
1487,6.94E-02,0.930527
1488,6.74E-02,0.9325349
1489,6.55E-02,0.934421
1490,6.38E-02,0.9361607
1491,6.22E-02,0.9377351
1492,6.08E-02,0.9391314
1493,5.96E-02,0.9403424
1494,0.0585742,0.9413665
1495,5.77E-02,0.9422066
1496,5.71E-02,0.9428698
1497,0.0565748,0.9433668
1498,5.62E-02,0.9437113
1499,5.60E-02,0.9439189
1500,5.59E-02,0.9440068
1501,5.60E-02,0.9439923
1502,5.60E-02,0.9438941
1503,5.62E-02,0.9437305
1504,0.056425,0.9435188
1505,5.67E-02,0.9432757
1506,5.69E-02,0.9430165
1507,5.72E-02,0.9427548
1508,5.74E-02,0.9425032
1509,5.77E-02,0.9422723
1510,0.0578744,0.9420713
1511,0.0580385,0.9419073
1512,5.82E-02,0.9417866
1513,5.82E-02,0.9417134
1514,5.83E-02,0.9416904
1515,5.82E-02,0.9417195
1516,5.81E-02,0.9418007
1517,5.80E-02,0.9419334
1518,5.78E-02,0.9421155
1519,5.76E-02,0.9423442
1520,5.73E-02,0.942616
1521,0.0570215,0.9429262
1522,5.67E-02,0.9432697
1523,5.63E-02,0.9436409
1524,5.59E-02,0.9440337
1525,5.55E-02,0.9444417
1526,5.51E-02,0.9448579
1527,5.47E-02,0.9452755
1528,5.43E-02,0.9456877
1529,5.39E-02,0.9460875
1530,5.35E-02,0.9464681
1531,5.31E-02,0.9468216
1532,5.28E-02,0.9471433
1533,5.25E-02,0.9474277
1534,0.0522794,0.9476694
1535,5.21E-02,0.9478642
1536,5.19E-02,0.9480082
1537,5.19E-02,0.9480982
1538,5.18E-02,0.9481323
1539,5.18E-02,0.9481089
1540,5.19E-02,0.9480276
1541,5.21E-02,0.9478897
1542,0.0522541,0.9476956
1543,5.25E-02,0.9474474
1544,5.28E-02,0.947148
1545,5.31E-02,0.9468011
1546,5.35E-02,0.9464111
1547,5.40E-02,0.9459827
1548,5.44E-02,0.9455217
1549,5.49E-02,0.9450338
1550,5.54E-02,0.9445254
1551,5.59E-02,0.9440029
1552,5.65E-02,0.943473
1553,5.70E-02,0.9429424
1554,5.75E-02,0.9424178
1555,0.058046,0.9419057
1556,5.85E-02,0.9414122
1557,5.90E-02,0.9409437
1558,5.94E-02,0.9405056
1559,5.98E-02,0.9401033
1560,6.02E-02,0.9397416
1561,6.05E-02,0.9394256
1562,6.08E-02,0.9391584
1563,6.10E-02,0.9389434
1564,6.12E-02,0.9387832
1565,6.13E-02,0.9386795
