Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
709.5999756,0.8982837,0.1016529
709.7999878,0.898741,0.1011939
710,0.8990902,0.1008431
710.2000122,0.8993384,0.1005933
710.4000244,0.8994921,0.1004378
710.5999756,0.8995576,0.1003706
710.7999878,0.8995404,0.1003859
711,0.8994458,0.1004787
711.2000122,0.8992784,0.1006442
711.4000244,0.8990423,0.1008782
711.5999756,0.8987413,0.1011772
711.7999878,0.8983782,0.1015382
712,0.8979554,0.1019587
712.2000122,0.8974749,0.102437
712.4000244,0.8969377,0.1029718
712.5999756,0.8963446,0.1035626
712.7999878,0.8956951,0.1042095
713,0.8949889,0.1049132
713.2000122,0.8942249,0.1056746
713.4000244,0.8934017,0.1064951
713.5999756,0.8925182,0.1073759
713.7999878,0.8915725,0.1083188
714,0.890564,0.1093245
714.2000122,0.8894926,0.1103932
714.4000244,0.8883593,0.1115237
714.5999756,0.8871673,0.112713
714.7999878,0.8859204,0.1139572
715,0.8846262,0.1152489
715.2000122,0.8832942,0.1165786
715.4000244,0.8819364,0.1179343
715.5999756,0.880568,0.119301
715.7999878,0.8792045,0.1206631
716,0.8778638,0.1220027
716.2000122,0.876564,0.1233021
716.4000244,0.8753217,0.1245443
716.5999756,0.8741522,0.1257142
716.7999878,0.8730664,0.126801
717,0.8720725,0.1277964
717.2000122,0.8711739,0.1286969
717.4000244,0.8703701,0.129503
717.5999756,0.8696568,0.1302191
717.7999878,0.8690259,0.1308529
718,0.8684683,0.1314137
718.2000122,0.8679736,0.1319119
718.4000244,0.8675312,0.1323578
718.5999756,0.8671322,0.1327603
718.7999878,0.8667694,0.1331266
719,0.8664385,0.1334611
719.2000122,0.8661382,0.1337649
719.4000244,0.8658707,0.1340358
719.5999756,0.8656418,0.134268
719.7999878,0.8654602,0.1344528
720,0.8653378,0.1345782
720.2000122,0.8652895,0.1346293
720.4000244,0.8653291,0.1345924
720.5999756,0.8654722,0.134452
720.7999878,0.8657336,0.1341932
721,0.8661259,0.1338032
