Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
1085,4.74E-02,0.952481
1086,4.75E-02,0.9524022
1087,4.83E-02,0.9516002
1088,0.0497546,0.9501387
1089,5.17E-02,0.9481601
1090,5.40E-02,0.9458696
1091,5.64E-02,0.9435115
1092,5.86E-02,0.9413404
1093,6.03E-02,0.9395934
1094,6.14E-02,0.9384652
1095,6.18E-02,0.9380882
1096,6.14E-02,0.9385198
1097,6.02E-02,0.9397356
1098,5.83E-02,0.9416304
1099,5.59E-02,0.9440247
1100,5.32E-02,0.9466795
1101,5.06E-02,0.9493099
1102,4.83E-02,0.95164
1103,0.0464865,0.9534072
1104,4.55E-02,0.9544033
1105,4.54E-02,0.9545032
1106,4.62E-02,0.9536837
1107,4.79E-02,0.952029
1108,5.02E-02,0.9497228
1109,5.29E-02,0.9470254
1110,5.57E-02,0.944243
1111,5.82E-02,0.9416917
1112,0.0602323,0.9396628
1113,6.15E-02,0.9383912
1114,6.19E-02,0.9380317
1115,6.13E-02,0.9386411
1116,5.97E-02,0.9401698
1117,5.74E-02,0.9424632
1118,5.46E-02,0.9452721
1119,5.16E-02,0.9482774
1120,4.88E-02,0.9511243
1121,4.64E-02,0.9534697
1122,4.49E-02,0.9550182
1123,4.43E-02,0.9555788
1124,4.48E-02,0.9550908
1125,4.63E-02,0.9536321
1126,4.85E-02,0.9514068
1127,5.12E-02,0.948712
1128,5.40E-02,0.9458905
1129,5.66E-02,0.9432765
1130,5.88E-02,0.9411371
1131,6.03E-02,0.9396253
1132,6.12E-02,0.9387308
1133,6.16E-02,0.9382592
1134,6.20E-02,0.9378427
1135,6.29E-02,0.9370007
1136,6.46E-02,0.9352569
1137,6.76E-02,0.9322985
1138,7.18E-02,0.9281334
1139,7.67E-02,0.923187
1140,8.16E-02,0.9182923
1141,8.53E-02,0.9145925
1142,8.66E-02,0.9133024
1143,8.43E-02,0.9155645
1144,0.0777466,0.922129
1145,6.71E-02,0.93273
1146,5.52E-02,0.944649
1147,4.98E-02,0.9500521
1148,0.0659579,0.9338821
1149,0.1196756,0.8801619
1150,0.2087808,0.7910652
1151,0.3072393,0.6926224
1152,0.3901097,0.6097683
1153,0.4502054,0.5496857
1154,0.4914919,0.5084086
1155,0.5200283,0.4798786
1156,0.540647,0.4592637
1157,0.5567549,0.4431579
1158,0.5708649,0.4290488
1159,0.5850553,0.4148582
1160,0.6011952,0.3987176
1161,0.6209094,0.3790027
1162,0.6453509,0.3545608
1163,0.6748279,0.3250844
1164,0.7085651,0.2913491
1165,0.7448006,0.2551166
1166,0.7812657,0.2186557
1167,0.815821,0.1841055
