Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
1298,4.55E-02,0.9544334
1299,4.73E-02,0.9526038
1300,5.09E-02,0.9490293
1301,5.60E-02,0.943876
1302,6.24E-02,0.9374571
1303,6.97E-02,0.9302155
1304,7.72E-02,0.9226891
1305,8.44E-02,0.9154649
1306,9.08E-02,0.9091215
1307,9.57E-02,0.904159
1308,9.90E-02,0.9009073
1309,0.1004953,0.899394
1310,0.1007264,0.8991585
1311,0.1008762,0.8990031
1312,0.1031293,0.8967433
1313,0.1107096,0.8891559
1314,0.1273445,0.8725145
1315,0.1557967,0.8440579
1316,0.1958643,0.8039892
1317,0.2434363,0.7564195
1318,0.2920066,0.7078544
1319,0.3357379,0.6641297
1320,0.3716539,0.6282201
1321,0.399874,0.6000059
1322,0.422684,0.5772009
1323,0.4434166,0.5564721
1324,0.465586,0.5343058
1325,0.4921768,0.5077178
1326,0.5250172,0.4748804
1327,0.5643435,0.4355576
1328,0.6087783,0.3911269
1329,0.6558158,0.3440941
1330,0.7026178,0.2972972
1331,0.7467502,0.2531702
1332,0.7865897,0.213336
1333,0.8213692,0.1785614
1334,0.8509991,0.1489362
1335,0.8758196,0.1241198
1336,0.8963873,0.1035561
1337,0.9133241,8.66E-02
1338,0.9272313,7.27E-02
1339,0.938646,6.13E-02
1340,0.9480276,0.0519274
1341,0.9557554,4.42E-02
1342,0.9621451,3.78E-02
1343,0.9674491,3.25E-02
1344,0.9718707,2.81E-02
1345,0.9755728,2.44E-02
1346,0.9786865,2.13E-02
1347,0.9813172,0.0186491
1348,0.9835495,1.64E-02
1349,0.985452,1.45E-02
1350,0.9870804,0.0128888
1351,0.9884798,1.15E-02
1352,0.9896873,1.03E-02
1353,0.9907331,9.24E-03
1354,0.9916424,8.33E-03
1355,0.9924355,7.54E-03
1356,0.9931298,6.84E-03
1357,0.9937397,6.23E-03
1358,0.9942769,5.70E-03
1359,0.9947516,5.22E-03
1360,0.9951723,4.80E-03
1361,0.995546,4.43E-03
1362,0.9958791,4.10E-03
1363,0.9961765,3.80E-03
1364,0.9964428,3.53E-03
1365,0.9966817,3.30E-03
1366,0.9968966,3.08E-03
1367,0.9970902,0.0028874
1368,0.9972649,2.71E-03
1369,0.9974229,2.56E-03
1370,0.997566,2.41E-03
1371,0.9976959,2.28E-03
1372,0.9978138,2.16E-03
1373,0.9979211,2.06E-03
1374,0.9980189,1.96E-03
1375,0.9981079,1.87E-03
1376,0.9981892,1.79E-03
1377,0.9982633,1.72E-03
1378,0.9983311,1.65E-03
1379,0.9983929,1.59E-03
1380,0.9984494,1.53E-03
1381,0.9985009,1.48E-03
1382,0.9985479,1.43E-03
1383,0.9985907,1.39E-03
1384,0.9986298,1.35E-03
1385,0.9986653,1.32E-03
1386,0.9986976,1.28E-03
1387,0.9987268,1.25E-03
1388,0.9987531,1.23E-03
1389,0.9987768,1.20E-03
1390,0.9987979,1.18E-03
1391,0.9988167,1.16E-03
1392,0.9988331,1.15E-03
1393,0.9988474,1.13E-03
1394,0.9988596,1.12E-03
1395,0.9988698,1.11E-03
1396,0.9988781,1.10E-03
1397,0.9988844,1.10E-03
1398,0.998889,1.09E-03
1399,0.9988918,1.09E-03
1400,0.9988927,1.09E-03
1401,0.9988919,1.09E-03
1402,0.9988894,1.09E-03
1403,0.9988851,1.10E-03
1404,0.998879,1.10E-03
1405,0.998871,1.11E-03
1406,0.9988613,1.12E-03
1407,0.9988496,1.13E-03
1408,0.9988359,1.15E-03
1409,0.9988202,1.16E-03
1410,0.9988025,1.18E-03
1411,0.9987825,1.20E-03
1412,0.9987603,1.22E-03
1413,0.9987356,1.25E-03
1414,0.9987084,1.27E-03
1415,0.9986786,1.30E-03
1416,0.9986458,1.33E-03
1417,0.9986101,1.37E-03
1418,0.9985711,1.41E-03
1419,0.9985287,1.45E-03
1420,0.9984825,1.50E-03
1421,0.9984324,1.55E-03
1422,0.9983779,1.60E-03
1423,0.9983188,1.66E-03
1424,0.9982547,1.73E-03
1425,0.998185,1.79E-03
1426,0.9981094,1.87E-03
1427,0.9980273,1.95E-03
1428,0.9979381,2.04E-03
1429,0.9978412,2.14E-03
1430,0.9977357,2.24E-03
1431,0.9976209,2.36E-03
1432,0.9974958,2.48E-03
1433,0.9973594,2.62E-03
1434,0.9972104,2.77E-03
1435,0.9970477,2.93E-03
1436,0.9968695,3.11E-03
1437,0.9966744,3.30E-03
1438,0.9964601,3.52E-03
1439,0.9962248,3.75E-03
1440,0.9959659,4.01E-03
1441,0.995681,4.30E-03
1442,0.9953667,4.61E-03
1443,0.9950191,4.96E-03
1444,0.9946343,5.34E-03
1445,0.9942072,5.77E-03
1446,0.9937325,6.24E-03
1447,0.9932037,6.77E-03
1448,0.9926136,7.36E-03
1449,0.9919536,8.02E-03
1450,0.991214,8.76E-03
1451,0.9903831,9.59E-03
1452,0.9894479,1.05E-02
1453,0.9883925,1.16E-02
1454,0.9871988,1.28E-02
1455,0.9858455,1.41E-02
1456,0.9843072,1.57E-02
1457,0.9825546,1.74E-02
1458,0.9805524,1.94E-02
1459,0.9782595,2.17E-02
1460,0.975627,2.43E-02
1461,0.9725909,2.74E-02
1462,0.9690867,3.09E-02
1463,0.9650331,3.49E-02
1464,0.9603333,3.96E-02
1465,0.9548738,4.51E-02
1466,0.948521,5.14E-02
1467,0.9411196,5.88E-02
1468,0.9324899,6.75E-02
1469,0.9224278,0.0775227
1470,0.9107059,8.92E-02
1471,0.8970779,0.1028676
1472,0.8812894,0.1186533
1473,0.863095,0.1368446
1474,0.8422867,0.1576499
