Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
1442,0.9835106,1.65E-02
1443,0.9839505,1.60E-02
1444,0.9844536,1.55E-02
1445,0.9849991,1.50E-02
1446,0.9855667,1.44E-02
1447,0.9861383,1.39E-02
1448,0.9866986,1.33E-02
1449,0.9872357,1.28E-02
1450,0.9877404,1.23E-02
1451,0.9882063,1.18E-02
1452,0.9886293,1.14E-02
1453,0.9890069,1.10E-02
1454,0.9893377,1.07E-02
1455,0.9896213,1.04E-02
1456,0.9898578,1.01E-02
1457,0.9900474,9.94E-03
1458,0.9901904,9.80E-03
1459,0.990287,9.70E-03
1460,0.9903375,9.65E-03
1461,0.990342,9.65E-03
1462,0.9903002,9.69E-03
1463,0.9902121,9.78E-03
1464,0.9900784,9.91E-03
1465,0.9899003,1.01E-02
1466,0.989679,1.03E-02
1467,0.9894154,1.06E-02
1468,0.9891077,1.09E-02
1469,0.9887505,1.12E-02
1470,0.9883341,1.17E-02
1471,0.9878463,1.21E-02
1472,0.9872736,1.27E-02
1473,0.9866033,1.34E-02
1474,0.9858242,1.42E-02
1475,0.984927,0.015062
1476,0.983905,1.61E-02
1477,0.9827547,1.72E-02
1478,0.9814788,0.0185098
1479,0.9800878,1.99E-02
1480,0.978605,2.14E-02
1481,0.9770742,2.29E-02
1482,0.9755485,2.44E-02
1483,0.9741049,2.59E-02
1484,0.9728355,2.72E-02
1485,0.9718376,2.81E-02
1486,0.9711975,2.88E-02
1487,0.9709739,0.0290131
1488,0.9711838,2.88E-02
1489,0.9717994,0.0281873
1490,0.9727545,2.72E-02
1491,0.9739603,2.60E-02
1492,0.9753222,2.47E-02
1493,0.9767536,2.32E-02
1494,0.9781841,2.18E-02
1495,0.9795622,2.04E-02
1496,0.9808539,1.91E-02
1497,0.9820395,1.79E-02
1498,0.98311,1.69E-02
1499,0.9840637,1.59E-02
1500,0.9849036,1.51E-02
1501,0.9856386,1.43E-02
1502,0.9862712,0.013712
1503,0.9868082,1.32E-02
1504,0.9872562,1.27E-02
1505,0.9876212,1.24E-02
1506,0.9879082,1.21E-02
1507,0.9881212,0.0118587
1508,0.9882631,1.17E-02
1509,0.9883355,1.16E-02
1510,0.9883392,1.16E-02
1511,0.9882734,1.17E-02
